Société de gestion,,Nom de la SCPI,Valeur IFI,Non résident,DICI (Document d'informations clés)
123 Venture,275,123 Prestigimmo,,,SCPI dans Urban Premium - doc absent
ADVENIS,227,Eurovalys,783,0,Doc Absent
ADVENIS,360,Renovalys 1,"2991,68","2991,68",Doc Absent
ADVENIS,354,Renovalys 2,"2664,54","2664,54",Doc Absent
ADVENIS,358,Renovalys 3,"3257,88","3257,88",Doc Absent
ADVENIS,298,Renovalys 4,"3868,48","3868,48",Doc Absent
ADVENIS,265,Renovalys 5,"3805,4","3805,4",Doc Absent
ADVENIS,372,Renovalys 6,"3521,35","3521,35",Doc Absent
ADVENIS,370,Renovalys Patrimoine,"3950,43","3950,43",Doc Absent
AEW Ciloger,280,ACTIPIERRE 1,"498,57€","498,57€",4
AEW Ciloger,281,ACTIPIERRE 2,"290,99€","290,99€",3
AEW Ciloger,249,ACTIPIERRE 3,"292,38€","292,38€",3
AEW Ciloger,250,ACTIPIERRE EUROPE,"171,01€","124,12€",Doc Absent
AEW Ciloger,287,ATOUT PIERRE DIVERSIFICATION,"718,33€","670,68€",Doc Absent
AEW Ciloger,385,Atout Pierre Habitation,"560,17€","560,17€",Doc Absent
AEW Ciloger,420,Atout Pierre Habitation 2,"607,20€","607,20€",Doc Absent
AEW Ciloger,388,BP Résidence Patrimoine,"820,61€","820,61€",SCPI absente dans AEW
AEW Ciloger,389,BP Résidence Patrimoine 2,"846,95€","846,95€",SCPI absente dans AEW
AEW Ciloger,351,CILOGER HABITAT 1,"419,22€","419,22€",Doc Absent
AEW Ciloger,352,CILOGER HABITAT 2,"327,31€","327,31€",Doc Absent
AEW Ciloger,355,CILOGER HABITAT 3,"501,52€","501,52€",Doc Absent
AEW Ciloger,304,CILOGER HABITAT 4,"514,45€","514,45€",Doc Absent
AEW Ciloger,243,CILOGER HABITAT 5,"132,57€","132,57€",Doc Absent
AEW Ciloger,221,fructipierre,"472,19€","472,19€",Doc Absent
AEW Ciloger,222,fructirégions europe,"168,77€","168,77€",Doc Absent
AEW Ciloger,401,fructirésidence,"1 018,98€","1 018,98€",SCPI absente dans AEW
AEW Ciloger,402,fructirésidence BBC,"826,56€","826,56€",SCPI absente dans AEW
AEW Ciloger,330,Immo evolutif,"12 070,75€","12 070,75€",Doc Absent
AEW Ciloger,230,laffitte pierre,"343,86€","343,86€",3
AEW Ciloger,383,opportunité habitat,"533,65€","533,65€",SCPI absente dans AEW
AEW Ciloger,236,PIERRE PLUS,"860,41€","704,97€",Doc Absent
AEW Ciloger,329,Placement ciloger 3,SansOBJET,SANSOBJET,Doc Absent
